Frame,Cell,Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,MajorAxisLength,MinorAxisLength,Perimeter
1,8,989,39.7664307381193,83.6016177957533,19.5,66.5,44,33,45.0281658168457,28.8033996276979,120.489
1,17,683,43.2767203513909,147.919472913616,29.5,130.5,30,34,33.0043390668342,28.1182156701935,100.805
1,11,1187,54.636899747262,118.44397641112,35.5,94.5,35,46,44.1104193456833,35.4661501860076,128.237
1,6,861,54.6678281068525,59.3983739837398,39.5,37.5,31,47,46.1384857327284,24.484830465044,118.654
1,7,723,77.6390041493776,151.228215767635,60.5,133.5,38,35,38.5042190352533,25.8797183420958,108.283
1,16,296,72.1486486486486,78.5844594594595,63.5,66.5,21,27,32.8770798435122,12.683224277011,74.506
1,4,1080,84.6898148148148,122.94537037037,67.5,94.5,37,52,55.4245611600395,25.8986146288905,138.46
1,12,1082,85.7504621072089,45.8475046210721,69.5,21.5,34,45,45.4438495692089,31.1189880600285,124.954
1,1,1068,92.9325842696629,88.1020599250936,72.5,67.5,41,43,38.6592596984064,36.233654142781,123.302
1,15,1109,115.304779080252,58.3534715960325,93.5,36.5,47,42,40.1128045977319,38.2821142191347,130.811
1,2,1109,114.456266907124,116.743011722272,96.5,93.5,41,48,45.7813236834754,33.3812796882546,133.027
1,13,874,130.506864988558,84.0926773455378,112.5,63.5,34,39,39.500914241299,29.3929479928076,110.523
1,9,1329,138.846501128668,134.686230248307,116.5,106.5,40,50,49.1705735626965,35.7990167445998,138.584
1,3,670,153.783582089552,93.3343283582089,138.5,75.5,33,35,35.5173418425639,25.6264116125896,101.17
1,5,406,153.160098522167,63.0886699507389,140.5,52.5,25,24,25.5675062428067,21.6041386673593,77.119
2,8,988,39.1305668016194,83.1265182186235,19.5,66.5,43,32,45.0863221203031,28.6704190846427,118.107
2,17,673,43.1069836552749,147.748885586924,29.5,130.5,30,33,32.6198049291174,28.2356258524947,101.243
2,11,1178,54.3217317487267,117.948217317487,35.5,93.5,34,47,44.7982867173906,34.5708043350745,127.865
2,6,857,53.7152858809802,59.0875145857643,38.5,37.5,32,46,45.4068505110566,24.7398967524536,116.603
2,7,735,77.356462585034,150.978231292517,60.5,132.5,37,36,38.602817805631,26.0952635286126,107.812
2,16,300,71.48,77.9466666666667,63.5,65.5,20,27,32.120105945149,12.8491329004967,73.282
2,4,1096,84.1423357664234,122.235401459854,66.5,93.5,37,53,55.4015546076945,26.3381905788874,141.065
2,12,1078,85.3423005565863,45.5296846011132,68.5,21.5,35,45,45.0838988731377,31.2275309787412,124.243
2,1,1041,92.3381364073007,87.4860710854947,72.5,66.5,40,43,38.3110493665547,35.7624605832349,121.449
2,15,1109,114.889089269612,58.0513976555455,93.5,36.5,47,42,40.5914728918363,38.0062727800305,131.084
2,2,1118,113.978533094812,116.402504472272,96.5,93.5,41,48,46.2784281067091,33.5957019072745,135.334
2,13,907,130.176405733186,83.6857772877619,111.5,62.5,35,39,40.0421712851889,29.9842047897444,112.21
2,9,1379,138.596809282088,134.664974619289,115.5,107.5,41,50,49.6970065983784,36.5800723227544,139.08
2,3,674,153.816023738872,92.9910979228487,138.5,75.5,33,35,35.9496234101243,25.5327344006798,102.286
2,5,409,153.178484107579,62.8973105134474,141.5,51.5,24,25,25.6351063085466,21.5789499232862,78.037
